Laptop_ID,Brand,Processor,RAM_GB,Storage,Screen_Size_Inches,Weight_KG,Battery_Hours,Price_INR
1,Apple,Core i3,4,1TB SSD,14.0,1.53,6,70800.0
2,Apple,Ryzen 7,4,1TB HDD,13.3,1.24,8,64200.0
3,Acer,Ryzen 7,4,512GB SSD,17.3,1.83,12,69500.0
4,Lenovo,Core i3,8,1TB HDD,15.6,1.62,8,49300.0
5,Dell,Core i3,16,256GB SSD,15.6,2.47,9,69000.0
6,Apple,Ryzen 5,16,256GB SSD,16.0,1.32,9,91600.0
7,Acer,Core i7,16,512GB SSD,13.3,1.27,8,91100.0
8,Dell,Core i5,4,1TB HDD,15.6,1.88,10,47300.0
9,Lenovo,Core i7,8,1TB SSD,13.3,2.11,7,84400.0
10,Apple,Core i5,8,1TB HDD,16.0,1.6,8,68200.0
11,Lenovo,Core i3,8,256GB SSD,15.6,1.8,6,51400.0
12,Acer,Core i7,8,1TB HDD,16.0,2.53,12,61600.0
13,Lenovo,Core i5,8,1TB SSD,17.3,1.84,11,78600.0
14,HP,Core i5,16,1TB HDD,13.3,2.33,6,69800.0
15,Apple,Core i5,32,1TB HDD,17.3,1.3,11,123100.0
16,Asus,Ryzen 7,8,256GB SSD,13.3,2.22,9,68700.0
17,Lenovo,Core i3,8,1TB HDD,14.0,1.88,9,51100.0
18,HP,Ryzen 7,4,1TB SSD,17.3,2.11,7,74300.0
19,HP,Ryzen 7,16,256GB SSD,17.3,1.69,5,82600.0
20,Lenovo,Core i7,8,256GB SSD,14.0,2.52,6,64300.0
21,Apple,Ryzen 5,4,512GB SSD,14.0,2.19,7,66300.0
22,Acer,Ryzen 7,16,512GB SSD,17.3,2.33,8,92900.0
23,Lenovo,Ryzen 5,32,1TB SSD,16.0,2.55,12,129200.0
24,HP,Core i5,4,1TB SSD,13.3,2.08,8,68900.0
25,HP,Core i3,4,256GB SSD,14.0,1.3,5,43600.0
26,Dell,Ryzen 7,8,1TB SSD,16.0,1.52,7,86800.0
27,Acer,Ryzen 7,16,512GB SSD,16.0,2.41,8,87800.0
28,Dell,Ryzen 5,8,1TB HDD,16.0,1.9,5,56300.0
29,Apple,Core i3,4,1TB HDD,15.6,2.4,6,46000.0
30,HP,Core i5,16,1TB HDD,14.0,1.83,9,75400.0
31,HP,Core i3,16,256GB SSD,13.3,2.18,5,66700.0
32,HP,Core i5,16,1TB HDD,16.0,1.52,11,74200.0
33,HP,Ryzen 5,4,1TB HDD,15.6,2.59,12,48900.0
34,Asus,Ryzen 7,32,1TB HDD,14.0,1.48,8,112100.0
35,Acer,Ryzen 7,4,1TB SSD,13.3,1.28,12,77600.0
36,Acer,Core i5,4,256GB SSD,14.0,1.3,6,51200.0
37,HP,Ryzen 5,4,512GB SSD,17.3,2.09,6,57900.0
38,Apple,Ryzen 7,16,1TB SSD,15.6,1.51,10,111900.0
39,Lenovo,Ryzen 5,8,1TB SSD,16.0,1.67,6,72000.0
40,Asus,Ryzen 7,16,256GB SSD,13.3,2.01,9,82500.0
41,Lenovo,Core i3,8,1TB SSD,15.6,1.44,9,72600.0
42,Apple,Ryzen 7,4,1TB SSD,13.3,2.61,7,81700.0
43,Dell,Core i3,32,512GB SSD,15.6,1.62,8,117200.0
44,Lenovo,Core i5,32,1TB SSD,17.3,1.93,5,124300.0
45,Apple,Ryzen 5,8,256GB SSD,13.3,1.7,7,71900.0
46,Lenovo,Core i5,32,1TB HDD,17.3,2.26,5,103900.0
47,Dell,Core i5,16,256GB SSD,15.6,2.07,7,78200.0
48,HP,Core i3,8,1TB SSD,13.3,2.55,8,70800.0
49,HP,Core i3,8,1TB HDD,17.3,2.32,8,46900.0
50,HP,Ryzen 5,4,512GB SSD,15.6,2.37,11,63500.0
